======================================================
  RELATÓRIO: ASSALTO À CARAVANA (mission_3)
  Min Heróis: 3
  Inimigos: 3x (HP:6 ATK:2), 2x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Tanque + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 5.9                | 10.1               | 0.1%               |
| Tanque + Ladino + Curandeiro                  | 99.9%              | 0.0%               | 0.1%               | 6.5                | 10.5               | 0.0%               |
| Tanque + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 4.4                | 5.7                | 0.0%               |
| Tanque + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 6.4                | 12.2               | 0.2%               |
| Tanque + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 5.9                | 9.2                | 0.0%               |
| Tanque + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 6.3                | 11.7               | 0.1%               |
| Tanque + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 7.1                | 11.9               | 0.0%               |
| Tanque + Curandeiro + Curandeiro              | 99.9%              | 0.0%               | 0.1%               | 8.2                | 16.5               | 0.0%               |
| Ladino + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.7                | 0.4%               |
| Ladino + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 3.7                | 1.6                | 0.9%               |
| Ladino + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 4.6                | 2.7                | 0.7%               |
| Ladino + Ladino + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 4.9                | 2.4                | 0.0%               |
| Ladino + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.5                | 0.0%               |
| Ladino + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 3.9                | 1.9                | 0.0%               |
| Ladino + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 4.7                | 2.1                | 0.0%               |
| Ladino + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 5.7                | 4.3                | 0.8%               |
| Ladino + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 5.3                | 2.4                | 0.0%               |
| Ladino + Curandeiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 6.1                | 3.4                | 0.0%               |
| Arqueiro + Arqueiro + Arqueiro                | 100.0%             | 0.0%               | 0.0%               | 3.5                | 1.4                | 0.1%               |
| Arqueiro + Arqueiro + Mago                    | 100.0%             | 0.0%               | 0.0%               | 4.3                | 2.6                | 0.1%               |
| Arqueiro + Arqueiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 4.4                | 2.1                | 0.0%               |
| Arqueiro + Mago + Mago                        | 100.0%             | 0.0%               | 0.0%               | 5.3                | 4.4                | 0.2%               |
| Arqueiro + Mago + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 5.4                | 3.5                | 0.0%               |
| Arqueiro + Curandeiro + Curandeiro            | 100.0%             | 0.0%               | 0.0%               | 5.3                | 2.3                | 0.0%               |
| Mago + Mago + Mago                            | 100.0%             | 0.0%               | 0.0%               | 6.1                | 6.6                | 10.2%              |
| Mago + Mago + Curandeiro                      | 100.0%             | 0.0%               | 0.0%               | 5.8                | 2.2                | 1.2%               |
| Mago + Curandeiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 6.2                | 2.8                | 0.4%               |
| Curandeiro + Curandeiro + Curandeiro          | 100.0%             | 0.0%               | 0.0%               | 7.6                | 7.0                | 0.0%               |


### ESTÁGIO: Dia 3 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro             | 98.5%              | 0.3%               | 1.2%               | 5.5                | 7.1                | 1.0%               |
| Guerreiro + Guerreiro + Tanque                | 94.8%              | 0.0%               | 5.2%               | 8.0                | 13.8               | 6.4%               |
| Guerreiro + Guerreiro + Ladino                | 100.0%             | 0.0%               | 0.0%               | 4.7                | 4.8                | 0.1%               |
| Guerreiro + Guerreiro + Arqueiro              | 100.0%             | 0.0%               | 0.0%               | 4.5                | 4.7                | 0.0%               |
| Guerreiro + Guerreiro + Mago                  | 100.0%             | 0.0%               | 0.0%               | 6.0                | 8.4                | 0.2%               |
| Guerreiro + Guerreiro + Curandeiro            | 98.9%              | 0.0%               | 1.1%               | 5.8                | 5.9                | 0.0%               |
| Guerreiro + Tanque + Tanque                   | 95.3%              | 0.0%               | 4.7%               | 10.3               | 21.1               | 9.6%               |
| Guerreiro + Tanque + Ladino                   | 99.9%              | 0.0%               | 0.1%               | 5.9                | 8.7                | 0.6%               |
| Guerreiro + Tanque + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 5.6                | 8.2                | 0.0%               |
| Guerreiro + Tanque + Mago                     | 99.9%              | 0.0%               | 0.1%               | 9.3                | 20.0               | 8.6%               |
| Guerreiro + Tanque + Curandeiro               | 81.3%              | 0.0%               | 18.7%              | 11.8               | 14.6               | 1.9%               |
| Guerreiro + Ladino + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 4.2                | 3.5                | 0.0%               |
| Guerreiro + Ladino + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 4.1                | 3.2                | 0.0%               |
| Guerreiro + Ladino + Mago                     | 99.9%              | 0.1%               | 0.0%               | 5.7                | 6.5                | 1.3%               |
| Guerreiro + Ladino + Curandeiro               | 99.2%              | 0.0%               | 0.8%               | 5.9                | 5.4                | 0.1%               |
| Guerreiro + Arqueiro + Arqueiro               | 100.0%             | 0.0%               | 0.0%               | 4.0                | 3.2                | 0.0%               |
| Guerreiro + Arqueiro + Mago                   | 100.0%             | 0.0%               | 0.0%               | 5.0                | 5.5                | 0.0%               |
| Guerreiro + Arqueiro + Curandeiro             | 100.0%             | 0.0%               | 0.0%               | 5.5                | 4.9                | 0.0%               |
| Guerreiro + Mago + Mago                       | 100.0%             | 0.0%               | 0.0%               | 6.2                | 8.1                | 0.2%               |
| Guerreiro + Mago + Curandeiro                 | 100.0%             | 0.0%               | 0.0%               | 6.9                | 6.7                | 0.0%               |
| Guerreiro + Curandeiro + Curandeiro           | 99.9%              | 0.0%               | 0.1%               | 7.2                | 7.1                | 0.0%               |
| Tanque + Tanque + Tanque                      | 90.0%              | 0.0%               | 10.0%              | 13.1               | 31.8               | 0.0%               |
| Tanque + Tanque + Ladino                      | 99.8%              | 0.0%               | 0.2%               | 7.1                | 13.3               | 0.0%               |
| Tanque + Tanque + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 6.9                | 12.6               | 0.0%               |
| Tanque + Tanque + Mago                        | 100.0%             | 0.0%               | 0.1%               | 11.2               | 29.6               | 0.0%               |
| Tanque + Tanque + Curandeiro                  | 97.6%              | 0.0%               | 2.4%               | 10.6               | 25.4               | 0.0%               |
| Tanque + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 4.6                | 6.0                | 0.0%               |
| Tanque + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 4.5                | 6.1                | 0.0%               |
| Tanque + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 6.1                | 10.8               | 0.0%               |
