======================================================
  RELATÓRIO: EXPEDIÇÃO (mission_2)
  Min Heróis: 2
  Inimigos: 2x (HP:6 ATK:2), 1x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Duplas]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Arqueiro + Curandeiro + Curandeiro            | 100.0%             | 0.0%               | 0.0%               | 4.2                | 1.5                | 0.1%               |
| Mago + Mago + Mago                            | 100.0%             | 0.0%               | 0.0%               | 3.0                | 1.6                | 1.1%               |
| Mago + Mago + Curandeiro                      | 100.0%             | 0.0%               | 0.0%               | 3.5                | 0.8                | 0.0%               |
| Mago + Curandeiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 4.1                | 1.4                | 0.0%               |
| Curandeiro + Curandeiro + Curandeiro          | 100.0%             | 0.0%               | 0.0%               | 5.3                | 2.9                | 0.0%               |


### ESTÁGIO: Dia 1 ###

[Duplas]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro                         | 99.9%              | 0.0%               | 0.0%               | 3.8                | 3.8                | 0.1%               |
| Guerreiro + Tanque                            | 99.7%              | 0.0%               | 0.3%               | 5.5                | 8.7                | 1.8%               |
| Guerreiro + Ladino                            | 100.0%             | 0.0%               | 0.0%               | 3.2                | 2.2                | 0.0%               |
| Guerreiro + Arqueiro                          | 100.0%             | 0.0%               | 0.0%               | 2.9                | 1.9                | 0.5%               |
| Guerreiro + Mago                              | 100.0%             | 0.0%               | 0.0%               | 3.3                | 2.6                | 0.0%               |
| Guerreiro + Curandeiro                        | 99.9%              | 0.0%               | 0.1%               | 6.7                | 4.3                | 0.0%               |
| Tanque + Tanque                               | 86.0%              | 0.0%               | 14.0%              | 13.7               | 19.3               | 0.0%               |
| Tanque + Ladino                               | 100.0%             | 0.0%               | 0.0%               | 3.9                | 3.0                | 0.0%               |
| Tanque + Arqueiro                             | 100.0%             | 0.0%               | 0.0%               | 3.5                | 2.3                | 0.0%               |
| Tanque + Mago                                 | 100.0%             | 0.0%               | 0.0%               | 4.7                | 4.2                | 0.0%               |
| Tanque + Curandeiro                           | 99.7%              | 0.0%               | 0.3%               | 9.7                | 13.6               | 0.0%               |
| Ladino + Ladino                               | 100.0%             | 0.0%               | 0.0%               | 2.8                | 1.2                | 0.0%               |
| Ladino + Arqueiro                             | 100.0%             | 0.0%               | 0.0%               | 2.5                | 1.2                | 0.0%               |
| Ladino + Mago                                 | 100.0%             | 0.0%               | 0.0%               | 3.9                | 2.6                | 0.0%               |
| Ladino + Curandeiro                           | 99.6%              | 0.0%               | 0.4%               | 4.9                | 2.6                | 0.0%               |
| Arqueiro + Arqueiro                           | 100.0%             | 0.0%               | 0.0%               | 2.5                | 1.2                | 0.0%               |
| Arqueiro + Mago                               | 99.8%              | 0.2%               | 0.0%               | 3.2                | 2.0                | 4.2%               |
| Arqueiro + Curandeiro                         | 99.7%              | 0.2%               | 0.0%               | 3.9                | 1.9                | 0.4%               |
| Mago + Mago                                   | 99.9%              | 0.1%               | 0.0%               | 3.8                | 2.6                | 10.6%              |
